00:01,38,22,6,241,6
00:02,21,39,4,844,24
00:03,49,41,12,750,8
00:06,70,38,14,872,24
00:10,20,41,5,797,8
00:11,28,41,6,409,8
00:13,13,24,6,112,24
00:15,21,20,8,420,8
00:17,30,19,4,790,24
00:18,64,27,4,151,24
00:19,66,28,5,892,24
00:20,14,5,49,834,24
00:33,64,26,5,399,8
00:35,25,17,4,511,24
00:36,64,44,52,877,24
00:50,54,50,6,468,24
00:51,29,23,12,352,8
00:54,40,13,11,755,24
00:57,16,19,6,563,24
00:59,42,29,6,136,6
01:01,19,31,4,886,8
01:02,18,25,22,290,24
01:07,29,27,4,608,8
01:09,29,17,4,119,24
01:10,46,42,5,12,24
01:11,37,31,2,277,24
01:11,65,48,4,104,24
01:13,52,24,4,154,24
01:14,67,45,4,302,24
01:15,29,40,3,419,24
01:15,70,43,5,450,24
01:17,61,46,4,793,24
01:18,53,20,16,580,24
01:22,51,18,6,615,6
01:24,2,31,16,86,24
01:28,12,14,3,498,24
01:29,38,38,5,834,24
01:30,49,22,5,586,4
01:31,65,46,5,258,24
01:33,67,43,14,281,24
01:37,11,48,4,95,8
01:38,5,18,6,318,8
01:39,14,13,5,242,24
01:41,7,26,6,524,24
01:42,18,25,9,380,8
01:45,28,43,4,835,24
01:46,18,28,11,270,8
01:49,29,20,6,882,8
01:50,57,49,5,161,24
01:51,33,8,8,481,24
01:54,33,40,5,274,24
01:55,40,7,3,593,24
01:56,48,20,16,728,24
02:00,25,32,4,87,24
02:01,54,45,19,41,24
02:06,11,1,6,110,8
02:08,37,29,6,455,4
02:09,28,21,33,196,24
02:18,51,6,4,385,24
02:19,27,29,6,190,24
02:21,70,48,13,553,24
02:24,59,49,5,598,24
02:26,20,35,4,319,24
02:27,53,37,5,797,24
02:28,23,5,22,694,24
02:34,29,33,9,514,24
02:36,41,17,31,657,6
02:45,57,17,13,82,24
02:48,39,38,5,689,8
02:49,2,31,4,384,8
02:50,11,4,4,746,24
02:51,52,32,9,734,4
02:54,48,10,6,539,24
02:55,10,10,4,881,24
02:57,17,22,4,354,24
02:58,18,45,4,594,8
02:59,38,5,38,772,8
03:09,47,12,6,658,24
03:10,55,13,6,797,8
03:12,46,44,4,32,24
03:13,56,42,5,7,8
03:14,39,37,10,116,24
03:17,57,10,16,288,24
03:21,51,31,30,15,24
03:29,12,14,44,869,8
03:41,18,21,13,676,24
03:45,20,35,3,716,8
03:45,54,20,19,705,4
03:50,17,21,16,564,8
03:55,18,11,5,743,8
03:56,52,35,5,192,24
03:57,3,36,6,763,8
03:59,32,32,4,490,8
04:00,63,17,5,634,8
04:01,36,12,5,853,24
04:03,21,3,56,166,24
04:18,17,3,11,869,24
04:21,65,45,6,65,8
04:22,42,19,5,562,24
04:23,34,4,6,465,24
04:25,46,7,6,19,24
04:27,11,39,4,473,24
04:28,24,49,17,272,8
04:32,37,47,9,868,24
04:35,58,41,14,410,24
04:38,52,48,6,632,24
04:40,43,21,4,521,24
04:41,53,13,11,585,24
04:44,36,50,5,90,24
04:45,47,21,11,822,4
04:48,31,11,5,751,8
04:50,48,9,4,570,24
04:51,31,20,13,108,8
04:54,35,43,4,11,24
04:55,42,31,20,227,4
05:01,34,37,4,564,24
05:02,13,40,6,155,24
05:03,50,2,5,490,24
05:05,9,40,5,521,24
05:06,42,34,6,553,6
05:07,58,31,4,356,8
05:09,61,8,5,598,24
05:10,63,24,6,13,24
05:11,52,6,16,767,24
05:16,25,41,6,889,24
05:17,43,13,3,353,8
05:18,54,17,19,70,6
05:23,44,21,5,742,24
05:25,48,17,10,351,8
05:27,36,22,6,612,24
05:29,30,22,6,49,8
05:30,62,17,4,305,24
05:31,13,17,4,95,8
05:33,20,11,5,115,24
05:34,1,21,6,892,8
05:35,30,1,4,765,24
05:37,39,31,6,146,24
05:38,1,40,5,45,24
05:39,7,22,11,86,24
05:42,11,32,4,2,8
05:43,49,11,14,208,24
05:47,47,6,2,358,24
05:48,53,5,20,407,24
05:53,35,6,4,8,24
05:54,46,23,6,175,6
05:56,62,47,5,817,8
05:57,42,3,6,622,24
05:59,32,11,5,871,24
06:00,14,33,5,837,24
06:01,60,50,4,141,8
06:02,35,28,2,510,8
06:03,3,36,20,336,24
06:08,50,40,4,556,24
06:09,69,35,4,502,24
06:10,18,31,15,757,24
06:14,27,10,5,54,24
06:16,69,28,5,522,24
